feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,clor_val
0.17786089,0.17786089,0.1767998,0.17425084,0.17258355,0.1697684,0.17643395,0.17619139,0.17235494
0.17425084,0.17235494,0.17258355,0.1697684,0.17619139,0.18496619,0.18496619,0.18759505,0.17643395
0.1697684,0.17643395,0.17619139,0.18496619,0.18759505,0.18037704,0.17969413,0.1759888,0.18496619
0.18496619,0.18496619,0.18759505,0.18037704,0.1759888,0.17640498,0.17973329,0.17162068,0.17969413
0.16654524,0.17000552,0.17881903,0.17374307,0.17412078,0.17374307,0.18155959,0.18155959,0.17571807
0.17374307,0.17571807,0.17412078,0.17374307,0.18155959,0.16125639,0.17378572,0.17591594,0.18155959
0.17374307,0.18155959,0.18155959,0.16125639,0.17591594,0.16862507,0.17378572,0.17117932,0.17378572
0.16125639,0.17378572,0.17591594,0.16862507,0.17117932,0.14066035,0.15137127,0.17117932,0.17378572
0.16862507,0.17378572,0.17117932,0.14066035,0.17117932,0.15332747,0.17045568,0.17045568,0.15137127
0.14066035,0.15137127,0.17117932,0.15332747,0.17045568,0.15083627,0.15083627,0.15549836,0.17045568
0.12907463,0.13816576,0.15572217,0.2967706,0.15536556,0.121720605,0.12017225,0.15229745,0.13816576
0.22360946,0.17114872,0.20792122,0.15960097,0.16209269,0.20115308,0.18693541,0.18913665,0.2437386
0.15960097,0.2437386,0.16209269,0.20115308,0.18913665,0.1853052,0.19825278,0.23730941,0.18693541
0.20115308,0.18693541,0.18913665,0.1853052,0.23730941,0.18178457,0.19825278,0.15662804,0.19825278
0.1853052,0.19825278,0.23730941,0.18178457,0.15662804,0.19562748,0.20624034,0.18425539,0.19825278
0.18178457,0.19825278,0.15662804,0.19562748,0.18425539,0.20221692,0.19577578,0.18425539,0.20624034
0.19562748,0.20624034,0.18425539,0.20221692,0.18425539,0.18795456,0.17455178,0.17108235,0.19577578
0.20221692,0.19577578,0.18425539,0.18795456,0.17108235,0.1765998,0.17561507,0.17561507,0.17455178
0.18795456,0.17455178,0.17108235,0.1765998,0.17561507,0.1769667,0.1769667,0.17697102,0.17561507
0.1765998,0.17561507,0.17561507,0.1769667,0.17697102,0.17786089,0.1767998,0.17795588,0.1769667
0.1769667,0.1769667,0.17697102,0.17786089,0.17795588,0.17235494,0.17258355,0.17608406,0.1767998
0.17786089,0.1767998,0.17795588,0.17235494,0.17608406,0.17643395,0.17619139,0.18063024,0.17258355
0.17235494,0.17258355,0.17608406,0.17643395,0.18063024,0.18496619,0.18759505,0.1794089,0.17619139
0.17643395,0.17619139,0.18063024,0.18496619,0.1794089,0.17969413,0.1759888,0.16540256,0.18759505
0.18496619,0.18759505,0.1794089,0.17969413,0.16540256,0.17973329,0.17162068,0.17190814,0.1759888
0.17969413,0.1759888,0.16540256,0.17973329,0.17190814,0.17932138,0.18919194,0.18130831,0.17162068
0.17973329,0.17162068,0.17190814,0.17932138,0.18130831,0.17267744,0.17772645,0.17932586,0.18919194
0.17932138,0.18919194,0.18130831,0.17267744,0.17932586,0.17000552,0.17881903,0.17870197,0.17772645
0.17267744,0.17772645,0.17932586,0.17000552,0.17870197,0.17571807,0.17412078,0.17412078,0.17881903
0.17000552,0.17881903,0.17870197,0.17571807,0.17412078,0.18155959,0.18155959,0.17217317,0.17412078
0.17571807,0.17412078,0.17412078,0.18155959,0.17217317,0.17378572,0.17591594,0.16947073,0.18155959
0.18155959,0.18155959,0.17217317,0.17378572,0.16947073,0.17378572,0.17117932,0.173955,0.17591594
0.17378572,0.17591594,0.16947073,0.17378572,0.173955,0.15137127,0.17117932,0.16968396,0.17117932
0.17378572,0.17117932,0.173955,0.15137127,0.16968396,0.17045568,0.17045568,0.1742165,0.17117932
0.15137127,0.17117932,0.16968396,0.17045568,0.1742165,0.15083627,0.15549836,0.16562593,0.17045568
0.17045568,0.17045568,0.1742165,0.15083627,0.16562593,0.12687391,0.15346481,0.16407594,0.15549836
0.15083627,0.15549836,0.16562593,0.12687391,0.16407594,0.12687391,0.15346481,0.1667034,0.15346481
0.12687391,0.15346481,0.16407594,0.12687391,0.1667034,0.13816576,0.15572217,0.16308409,0.15346481
0.12687391,0.15346481,0.1667034,0.13816576,0.16308409,0.13816576,0.15536556,0.15682869,0.15572217
0.13816576,0.15572217,0.16308409,0.13816576,0.15682869,0.12017225,0.15229745,0.15229745,0.15536556
0.13816576,0.15536556,0.15682869,0.12017225,0.15229745,0.12394151,0.12394151,0.15001908,0.15229745
0.17114872,0.20792122,0.21703576,0.2437386,0.1607182,0.18693541,0.18913665,0.22319125,0.16209269
0.19825278,0.15662804,0.15558974,0.20624034,0.17964286,0.19577578,0.18425539,0.17964286,0.18425539
0.20624034,0.18425539,0.17964286,0.19577578,0.17964286,0.17455178,0.17108235,0.18172391,0.18425539
0.19577578,0.18425539,0.17964286,0.17455178,0.18172391,0.17561507,0.17561507,0.18172391,0.17108235
