feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,clor_val
0.13794056,0.17312877,0.1364143,0.17557834,0.13074946,0.15516104,0.17599882,0.16070917
0.20334148,0.1875097,0.18457764,0.21310493,0.16961902,0.15081316,0.21364915,0.15081316
0.17459495,0.18848194,0.18804553,0.16451012,0.18017001,0.15546773,0.17175575,0.18017001
0.15322922,0.18755119,0.2368745,0.13144474,0.24708702,0.22048305,0.23177363,0.20312633
0.13144474,0.20312633,0.24708702,0.23177363,0.17857747,0.25453332,0.25453332,0.22048305
0.22048305,0.23177363,0.17857747,0.25453332,0.17857747,0.2346615,0.2003838,0.25453332
0.17857747,0.25453332,0.25453332,0.17857747,0.2003838,0.2346615,0.21401985,0.2346615
0.18017001,0.18017001,0.1957356,0.15546773,0.21148199,0.17399701,0.21950313,0.17175575
0.16954468,0.164615,0.21011937,0.22438014,0.14660344,0.14660344,0.13142222,0.22438014
0.22438014,0.22438014,0.14660344,0.13142222,0.1884663,0.19698103,0.21014364,0.14660344
0.2346615,0.2003838,0.23319007,0.2346615,0.21515808,0.15525864,0.16959299,0.21401985
0.18587297,0.18269463,0.17751728,0.18321872,0.18054035,0.17930326,0.20527454,0.18587297
0.16400546,0.19119057,0.164615,0.21011937,0.22438014,0.22438014,0.19922642,0.21011937
0.23060104,0.19908729,0.1990191,0.21655603,0.20497502,0.20758228,0.21824387,0.20107274
0.21655603,0.20107274,0.20497502,0.20758228,0.19038613,0.19038613,0.20770925,0.21824387
0.20758228,0.21824387,0.19038613,0.20770925,0.17865576,0.18658891,0.23482813,0.19038613
0.25453332,0.2551751,0.23630874,0.2003838,0.2143969,0.21401985,0.21515808,0.23319007
0.2003838,0.23319007,0.2143969,0.21401985,0.15525864,0.16959299,0.16363811,0.21515808
0.21401985,0.21515808,0.15525864,0.16363811,0.16323113,0.17830792,0.1794069,0.16959299
0.21148199,0.25460827,0.25537527,0.21950313,0.2239714,0.20316568,0.18514067,0.20316568
0.18761314,0.19339296,0.19339296,0.20569262,0.16400546,0.19119057,0.1904144,0.18078111
0.18078111,0.20569262,0.16400546,0.1904144,0.21011937,0.21011937,0.19242197,0.19119057
0.16400546,0.19119057,0.1904144,0.21011937,0.19242197,0.22438014,0.19922642,0.21011937
0.13142222,0.4578723,0.21014364,0.1506361,0.1727923,0.20025812,0.19654895,0.14794032
0.19119057,0.1904144,0.19147584,0.21011937,0.19293827,0.19922642,0.19965145,0.19242197
0.4578723,0.19965145,0.14794032,0.1811682,0.20025812,0.19654895,0.1811682,0.1506361
0.1904144,0.19147584,0.20143579,0.19242197,0.17459086,0.19965145,0.19590041,0.19293827
0.19965145,0.20905206,0.1506361,0.19847243,0.19654895,0.1811682,0.23199105,0.1811682
0.19654895,0.1811682,0.23199105,0.18316065,0.18804951,0.26418003,0.26418003,0.2355472
0.17452036,0.18984675,0.17452036,0.18921447,0.17500296,0.17973521,0.5343154,0.18984675
0.1694167,0.2250887,0.16401733,0.15570523,0.19145946,0.17510495,0.16688955,0.15570523
0.18984675,0.18921447,0.19510227,0.17973521,0.17973521,0.18696296,0.18696296,0.5343154
0.17973521,0.5343154,0.17973521,0.18696296,0.19874828,0.21719162,1.1612949,0.18696296
0.17973521,0.18696296,0.18696296,0.19874828,1.1612949,0.18908168,0.22030078,0.21719162
0.19874828,0.21719162,1.1612949,0.18908168,0.19117132,0.22030078,0.1856847,0.22030078
0.18908168,0.22030078,0.19117132,0.1856847,0.22146727,0.16844946,0.17656793,0.22030078
0.20413138,0.2066571,0.20256251,0.21235555,0.20256251,0.1663055,0.18772373,0.21850926
0.20256251,0.21008699,0.20540899,0.18772373,0.17853078,0.16555972,0.1859174,0.18772373
0.18772373,0.18772373,0.17853078,0.1859174,0.12484328,0.15347277,0.16679661,0.16555972
0.12484328,0.15347277,0.16679661,0.16899721,0.17434105,0.19471574,0.15407388,0.15347277
0.16899721,0.15347277,0.17434105,0.15407388,0.18313521,0.16774476,0.14105669,0.19471574
0.21008699,0.20540899,0.20540899,0.18772373,0.20814726,0.16555972,0.1859174,0.17853078
0.18772373,0.17853078,0.20814726,0.16555972,0.15347277,0.16679661,0.16930094,0.1859174
0.20540899,0.20540899,0.19840673,0.17853078,0.20575295,0.1859174,0.1453249,0.20814726
0.18694896,0.18720609,0.19603834,0.23797148,0.19603834,0.22545655,0.26381004,0.23170707
0.13023627,0.16067351,0.12210495,0.16863309,0.1624771,0.17276356,0.16863309,0.16331604
0.20540899,0.19840673,0.17815019,0.20814726,0.17383686,0.1453249,0.19849062,0.20575295
0.20814726,0.20575295,0.17383686,0.19849062,0.16930094,0.17499222,0.18258151,0.1453249
0.16930094,0.17499222,0.18258151,0.16421321,0.14825636,0.18152376,0.19555071,0.17736074
0.17736074,0.16421321,0.14825636,0.19555071,0.16667354,0.1670507,0.1592776,0.18152376
0.15880568,0.17634323,0.15923661,0.16117828,0.12534426,0.15408152,0.17136037,0.15408152
0.17736074,0.16421321,0.19236375,0.18152376,0.19555071,0.1670507,0.1592776,0.19555071
0.1688638,0.19431253,0.18723947,0.195507,0.1993077,0.1993077,0.1704795,0.195507
0.16275549,0.21117383,0.15880568,0.18131937,0.15408152,0.16117828,0.16553205,0.17634323
0.18258151,0.18045706,0.18222217,0.16421321,0.19236375,0.19555071,0.19555071,0.19236375
0.18349105,0.21689802,0.17085947,0.23942709,0.18237537,0.2384709,0.20056242,0.20380399
0.18792476,0.2602093,0.14795697,0.19782963,0.2384811,0.18045706,0.18222217,0.18129936
0.19782963,0.18129936,0.2384811,0.18045706,0.19236375,0.19236375,0.2077003,0.18222217
0.20380399,0.18237537,0.2046689,0.2384709,0.20056242,0.21351731,0.21351731,0.20056242
0.17718622,0.19144228,0.18716624,0.19205862,0.18951982,0.18110429,0.15561654,0.18110429
0.17085947,0.19827977,0.19585602,0.18237537,0.2046689,0.20056242,0.20056242,0.2046689
0.17975996,0.19591375,0.2114773,0.21758083,0.1934969,0.16204032,0.19733843,0.21758083
0.20732638,0.22038521,0.21901616,0.20593849,0.21825905,0.21630183,0.21701518,0.21825905
0.20593849,0.21825905,0.21825905,0.21630183,0.22066571,0.21701518,0.21468031,0.21701518
0.17185128,0.17901224,0.16567291,0.16237426,0.2510914,0.16105211,0.17362107,0.17362107
0.16237426,0.17362107,0.2510914,0.16105211,0.14760914,0.20572947,0.1879138,0.17362107
0.16105211,0.17362107,0.14760914,0.1879138,0.14009069,0.18462327,0.1879138,0.20572947
0.1667247,0.17139752,0.17139752,0.2114773,0.20072703,0.1934969,0.24101885,0.2114773
0.17064781,0.16158143,0.16316018,0.17901224,0.19332635,0.17362107,0.2510914,0.16567291
0.17362107,0.07221496,0.20572947,0.17151639,0.18462327,0.1879138,0.17630991,0.1879138
0.16158143,0.16316018,0.17272164,0.16567291,0.1687524,0.2510914,0.12973738,0.19332635
0.07221496,0.17726453,0.1879138,0.13704757,0.1879138,0.17630991,0.17492835,0.17151639
0.1869333,0.20556907,0.20556907,0.19597618,0.20615764,0.21542172,0.21608089,0.19597618
0.16316018,0.17272164,0.18072365,0.19332635,0.18893425,0.12973738,0.15592639,0.1687524
0.19332635,0.1687524,0.18893425,0.15592639,0.07221496,0.17726453,0.17431775,0.12973738
0.12973738,0.15592639,0.07221496,0.17431775,0.17151639,0.13704757,0.15213913,0.17726453
0.14285909,0.14285909,0.1640394,0.1681276,0.16834195,0.18345359,0.18198936,0.15114832
0.20556907,0.20556907,0.20316139,0.19597618,0.20656565,0.21608089,0.21463318,0.20615764
0.19607754,0.21643497,0.21957663,0.16079459,0.26023796,0.2221107,0.2510092,0.2447999
0.20556907,0.20316139,0.21386188,0.20615764,0.21386188,0.21463318,0.21174872,0.20656565
0.2447999,0.26023796,0.25110164,0.2221107,0.26249397,0.21156758,0.2415616,0.2510092
0.17765202,0.17831008,0.1898621,0.17864436,0.1898621,0.17898352,0.1781187,0.18358408
0.17864436,0.18358408,0.1898621,0.17898352,0.21129666,0.32593423,0.15723123,0.1781187
0.17898352,0.1781187,0.21129666,0.15723123,0.13213767,0.13279517,0.15723123,0.32593423
0.2510092,0.26249397,0.22726762,0.21156758,0.24522328,0.25855237,0.38380733,0.2415616
0.16365202,0.17440696,0.19172838,0.177197,0.15306574,0.17831008,0.1898621,0.1694407
0.32593423,0.15723123,0.13279517,0.15760729,0.17107385,0.1655799,0.18188262,0.15723123
0.12672533,0.17227468,0.14041565,0.17171715,0.17875034,0.17474718,0.1846392,0.16582344
0.18667778,0.17957571,0.17219757,0.19152959,0.3594851,0.20518786,0.22193284,0.2261914
0.20979919,0.2127261,0.20516978,0.18600251,0.20847604,0.20172755,0.18568167,0.20383921
0.20516978,0.20383921,0.18600251,0.20847604,0.18568167,0.2095193,0.21010229,0.20172755
0.22726762,0.21440843,0.20234273,0.24522328,0.29487637,0.38380733,0.3619708,0.3619708
0.21859328,0.2139648,0.2202285,0.21440843,0.26221985,0.3619708,0.29487637,0.20234273
0.1846392,0.20145348,0.1704933,0.18320213,0.17219757,0.21866754,0.21866754,0.15013695
0.1704933,0.15013695,0.18320213,0.17219757,0.21866754,0.3594851,0.3594851,0.21866754
0.2139648,0.2202285,0.2202285,0.20234273,0.22911637,0.29487637,0.22112025,0.26221985
0.2202285,0.2202285,0.21929823,0.26221985,0.2210214,0.22112025,0.2276054,0.22911637
0.15061848,0.19051632,0.16267256,0.16533823,0.1754949,0.18431027,0.20073153,0.17614728
0.22112025,0.2276054,0.2276054,0.18247725,0.18995713,0.16773467,0.17674412,0.18247725
0.18247725,0.18995713,0.17852618,0.16773467,0.1792889,0.1968109,0.22192273,0.17674412
0.17674412,0.1792889,0.18832189,0.1968109,0.24895883,0.22903556,0.22105941,0.22192273
0.18899709,0.23812233,0.18978865,0.16742547,0.19162942,0.18566506,0.19101097,0.17940478
0.22192273,0.24895883,0.2226489,0.22903556,0.22729604,0.19341698,0.24315944,0.22105941
0.18620653,0.18620653,0.18988667,0.18748613,0.17508322,0.17725347,0.17961656,0.20201315
0.17725347,0.17961656,0.18899709,0.18127458,0.17940478,0.16742547,0.1728043,0.23812233
0.18832189,0.2226489,0.21293475,0.24895883,0.18708496,0.22105941,0.22729604,0.2226489
0.18620653,0.18988667,0.20813984,0.20201315,0.18379991,0.17961656,0.17256066,0.17508322
0.20201315,0.17508322,0.18379991,0.17256066,0.23812233,0.18127458,0.18647842,0.17961656
0.17961656,0.17256066,0.23812233,0.18647842,0.16742547,0.1728043,0.18168126,0.18127458
0.2143582,0.16971149,0.17912686,0.21293475,0.19601369,0.18708496,0.19527072,0.19122517
0.18496335,0.178604,0.2107983,0.17912686,0.21255493,0.19601369,0.23158158,0.17048998
0.17741925,0.18232371,0.2206679,0.1863872,0.2206679,0.19075324,0.20560546,0.17401928
0.1983342,0.2027268,0.19729613,0.20076814,0.19459277,0.19775157,0.20917954,0.2219605
0.19729613,0.2219605,0.20076814,0.19459277,0.20917954,0.178604,0.2107983,0.19775157
0.19008003,0.19000283,0.19070469,0.19355847,0.18288909,0.20017871,0.22006287,0.19812727
0.19355847,0.19812727,0.18288909,0.20017871,0.18232371,0.2206679,0.21379429,0.22006287
0.20017871,0.22006287,0.18232371,0.21379429,0.17401928,0.2206679,0.17495601,0.2206679
