feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,clor_val
0.15991072,0.15991072,0.15991072,0.15991072,0.16566777,0.16566777,0.16566777
0.15534475,0.18452296,0.18452296,0.15303789,0.1915636,0.15303789,0.1915636
0.17406997,0.15991072,0.17406997,0.16566777,0.16566777,0.16566777,0.15991072
0.16809268,0.16857925,0.18546014,0.16857925,0.16857925,0.16857925,0.16857925
0.16809268,0.16809268,0.16809268,0.16857925,0.18546014,0.18546014,0.16809268
0.18452296,0.1915636,0.18082054,0.1915636,0.18082054,0.19712028,0.1915636
0.16566777,0.1994778,0.1994778,0.16566777,0.1994778,0.16573049,0.1994778
0.1915636,0.18082054,0.18082054,0.19712028,0.19712028,0.19712028,0.19712028
0.19260266,0.17406997,0.17406997,0.17406997,0.17406997,0.17406997,0.17406997
0.16871953,0.16871953,0.16871953,0.19260266,0.19260266,0.19260266,0.19260266
0.19260266,0.19260266,0.19260266,0.17406997,0.17406997,0.14556919,0.19260266
0.16573049,0.18464242,0.18464242,0.16573049,0.18464242,0.16576599,0.18464242
0.18464242,0.18464242,0.15709114,0.16576599,0.1815797,0.16576599,0.16576599
0.1506031,0.1506031,0.1506031,0.11502461,0.15798116,0.15798116,0.1506031
0.1506031,0.1506031,0.11502461,0.15798116,0.11502461,0.16047893,0.15798116
0.1509568,0.1509568,0.15828843,0.119744755,0.15330446,0.119744755,0.119744755
0.119744755,0.119744755,0.15330446,0.14696996,0.14696996,0.14696996,0.119744755
0.119744755,0.14696996,0.14696996,0.15927456,0.15927456,0.15927456,0.14696996
0.14696996,0.14696996,0.14696996,0.15927456,0.15927456,0.15927456,0.15927456
0.16684957,0.16684957,0.16684957,0.1506031,0.1506031,0.1506031,0.16684957
0.16047893,0.1509568,0.15828843,0.1509568,0.15828843,0.15828843,0.15828843
0.1509568,0.15828843,0.15828843,0.119744755,0.15330446,0.119744755,0.15330446
0.19012384,0.19119735,0.19119735,0.19012384,0.19119735,0.19730832,0.19119735
0.19730832,0.19730832,0.209045,0.20148446,0.209045,0.209045,0.20500709
0.17975906,0.17975906,0.17673036,0.17975906,0.16684957,0.16949755,0.17673036
0.15798116,0.15798116,0.17924543,0.17814462,0.16047893,0.17814462,0.16047893
0.16047893,0.17814462,0.15828843,0.15828843,0.15828843,0.15828843,0.15828843
0.15798116,0.17924543,0.17924543,0.16047893,0.16047893,0.17814462,0.17814462
0.19119735,0.19119735,0.1945011,0.19119735,0.20665018,0.20665018,0.19119735
0.20665018,0.209045,0.20177421,0.209045,0.209045,0.20177421,0.209045
0.1815797,0.19054303,0.19054303,0.1815797,0.19054303,0.17147712,0.1815797
0.1867477,0.16334063,0.16334063,0.17975906,0.17975906,0.17975906,0.16334063
0.17814462,0.17814462,0.15082794,0.15828843,0.15330446,0.17839736,0.15082794
0.15828843,0.15330446,0.17839736,0.15330446,0.17839736,0.18248388,0.15330446
0.19119735,0.1945011,0.19119735,0.20665018,0.20665018,0.20665018,0.20665018
0.1815797,0.19054303,0.19054303,0.17147712,0.1867477,0.1867477,0.17147712
0.17147712,0.17147712,0.1867477,0.16334063,0.16334063,0.1867477,0.1867477
0.17924543,0.17924543,0.1821874,0.17814462,0.17814462,0.15082794,0.17814462
0.17814462,0.17814462,0.15082794,0.15082794,0.15082794,0.15082794,0.17814462
0.17839736,0.17839736,0.17839736,0.18248388,0.18248388,0.18248388,0.18248388
0.17839736,0.17839736,0.18394294,0.18248388,0.22699827,0.18248388,0.18248388
0.20665018,0.20601818,0.20601818,0.20665018,0.20177421,0.20177421,0.20601818
0.20177421,0.20260915,0.20013234,0.21102129,0.21102129,0.20791657,0.20260915
0.20791657,0.20791657,0.20791657,0.19302218,0.1984929,0.19452187,0.19267996
0.1912133,0.19388214,0.1912133,0.19503519,0.19503519,0.20612083,0.1912133
0.22699827,0.22699827,0.17036788,0.22699827,0.17036788,0.13755241,0.22699827
0.16291709,0.16291709,0.19259535,0.19259535,0.19259535,0.19259535,0.19259535
0.14095463,0.14095463,0.14095463,0.37860686,0.37860686,0.37860686,0.14095463
0.20013234,0.20013234,0.20791657,0.20783149,0.20791657,0.20791657,0.20791657
0.15682085,0.16291709,0.15682085,0.19259535,0.19259535,0.17697276,0.16291709
0.20612083,0.19602595,0.19602595,0.19602595,0.19602595,0.19602595,0.19602595
