feature_0,feature_1,feature_2,feature_3,clor_val
0.21915399,0.21915399,0.21915399,0.21915399,0.21915399
0.21474993,0.21474993,0.21474993,0.21474993,0.21474993
0.21547428,0.21547428,0.21547428,0.21544845,0.21544845
0.1948571,0.1948571,0.1948571,0.1948571,0.1948571
0.1948571,0.1948571,0.19909303,0.19909303,0.19909303
0.21915399,0.21915399,0.21474993,0.21474993,0.21915399
0.1864166,0.1948571,0.1948571,0.1948571,0.1948571
0.1948571,0.1948571,0.1948571,0.19909303,0.1948571
0.18974017,0.18974017,0.20866333,0.20866333,0.20866333
0.20866333,0.19649538,0.19729911,0.19729911,0.19729911
0.19649538,0.19649538,0.19729911,0.19729911,0.19729911
0.19649538,0.19729911,0.19729911,0.19428591,0.19729911
0.18754357,0.19158185,0.19158185,0.19158185,0.19158185
0.18754357,0.19158185,0.19158185,0.19158185,0.19158185
0.21096925,0.22025827,0.22025827,0.22584094,0.22584094
0.2094478,0.2094478,0.21997985,0.22064112,0.2094478
0.20392542,0.21881786,0.21881786,0.21881786,0.21881786
0.22025827,0.22025827,0.22025827,0.22584094,0.22584094
0.20479079,0.20933305,0.20479079,0.20479079,0.20479079
0.2094478,0.21997985,0.22064112,0.22064112,0.22064112
0.21997985,0.22064112,0.22064112,0.22064112,0.22064112
0.21997985,0.22064112,0.22064112,0.22064112,0.22064112
0.20479079,0.21653792,0.20479079,0.21997985,0.20479079
0.20479079,0.20479079,0.21653792,0.20479079,0.21997985
0.22027545,0.22025827,0.23393285,0.23393285,0.22027545
0.23408261,0.23408261,0.23408261,0.259366,0.259366
0.24103971,0.23922133,0.23922133,0.22804837,0.23922133
0.24103971,0.23922133,0.23922133,0.23922133,0.23922133
0.23922133,0.22804837,0.20667228,0.20667228,0.22804837
0.2347876,0.2347876,0.21966995,0.22905338,0.21966995
0.22234268,0.22234268,0.22234268,0.23760565,0.23760565
0.24453361,0.24453361,0.24453361,0.24453361,0.24453361
0.22234268,0.22234268,0.24051611,0.22234268,0.23760565
0.24453361,0.24453361,0.24453361,0.24453361,0.24453361
0.24453361,0.24453361,0.24453361,0.24453361,0.24453361
0.26711035,0.27110252,0.27110252,0.26764885,0.26711035
0.26711035,0.26711035,0.27110252,0.26764885,0.27110252
0.26711035,0.27110252,0.26764885,0.26764885,0.26764885
0.25977686,0.25054824,0.25977686,0.25977686,0.25977686
0.24450502,0.2497589,0.24851118,0.2563961,0.2497589
0.26719716,0.27235532,0.26146063,0.27235532,0.26719716
0.25140554,0.25140554,0.2663808,0.2663808,0.2663808
0.33246717,0.3676932,0.30577695,0.38747007,0.3676932
0.33246717,0.3676932,0.3676932,0.30577695,0.38747007
0.25645855,0.26945734,0.25645855,0.25645855,0.25645855
0.26821104,0.26800773,0.27086428,0.27086428,0.27086428
0.259789,0.26800773,0.26193434,0.26193434,0.259789
0.26800773,0.26800773,0.26193434,0.26193434,0.26800773
0.26231253,0.26970243,0.26970243,0.25988263,0.25772738
0.27208093,0.26928568,0.26928568,0.26518482,0.27670258
0.27471912,0.27471912,0.28008857,0.2754517,0.28008857
0.2754517,0.2754517,0.2754517,0.2754517,0.2754517
0.26928568,0.26928568,0.2603225,0.27670258,0.26518482
0.26832086,0.27471912,0.27471912,0.26832086,0.26832086
0.2754517,0.2754517,0.2754517,0.27513278,0.27513278
0.2754517,0.27513278,0.2754517,0.26599672,0.27513278
0.267523,0.2662222,0.2666069,0.2666069,0.2662222
0.25769448,0.25918415,0.25885612,0.2574975,0.2669627
0.25918415,0.25885612,0.2527347,0.2574975,0.2574975
0.27428952,0.27777004,0.26054513,0.26210856,0.27118364
0.25629303,0.25629303,0.25379196,0.25408036,0.25469074
0.25408036,0.25408036,0.25408036,0.24954674,0.24954674
0.26038724,0.26036432,0.25112242,0.24728921,0.24728921
0.26797864,0.25537264,0.25826302,0.25826302,0.2779811
0.27859902,0.29012203,0.28129694,0.28135097,0.28129694
0.2779811,0.25826302,0.26512027,0.26269996,0.25826302
0.2742688,0.25826302,0.26512027,0.26173827,0.26512027
0.25189137,0.24458812,0.2499572,0.24984162,0.24591205
0.26047432,0.2604666,0.26047432,0.26287872,0.2604666
0.26047432,0.2604666,0.2604666,0.26047432,0.26287872
0.26512027,0.26512027,0.26669392,0.26001707,0.26173827
0.24671184,0.24466121,0.24466121,0.24963446,0.24466121
0.26176506,0.2604666,0.2623942,0.26287872,0.2604666
0.26176506,0.26176506,0.2604666,0.2623942,0.2623942
0.26176506,0.26176506,0.24890433,0.24890433,0.24890433
0.26176506,0.24890433,0.24890433,0.2623942,0.2509953
0.23878907,0.23737347,0.23759365,0.23191501,0.24101302
0.23981844,0.23981844,0.24347362,0.24890433,0.25366896
0.2407908,0.2451962,0.2407908,0.2407908,0.2407908
0.24101302,0.23798396,0.24204095,0.23798396,0.23191501
0.23191501,0.23798396,0.23798396,0.23362695,0.24204095
0.2407908,0.24034464,0.2407908,0.2407908,0.2407908
0.2407908,0.2407908,0.24034464,0.2407908,0.2407908
0.25649738,0.25649738,0.250249,0.25649738,0.25649738
0.2522569,0.25057122,0.24344485,0.24344485,0.24783647
0.24891913,0.24891913,0.25702712,0.25649738,0.25702712
0.24630077,0.24429266,0.24429266,0.24078485,0.2416333
0.24891913,0.25003812,0.25702712,0.24014458,0.25003812
0.24891913,0.25003812,0.25003812,0.25702712,0.24014458
0.24022195,0.24064878,0.2449358,0.24485272,0.24293832
0.2574246,0.25415802,0.25415802,0.2460702,0.2460702
0.23093258,0.22578119,0.21815151,0.232473,0.232473
0.25007296,0.25376117,0.25376117,0.2460769,0.25376117
0.27020127,0.2653973,0.25766325,0.2670075,0.26493543
0.26332077,0.26069802,0.26069802,0.25007296,0.26069802
0.23403648,0.22578119,0.21815151,0.22543551,0.22543551
0.22885542,0.2325351,0.22885542,0.23055181,0.2325351
0.22543551,0.22543551,0.22323784,0.21840471,0.2222267
0.22885542,0.22815543,0.2325351,0.22444564,0.22885542
0.23015074,0.22268799,0.22268799,0.21819068,0.21819068
0.2503288,0.2521071,0.24303557,0.24817374,0.25557643
0.22563305,0.22563305,0.22393033,0.22393033,0.22563305
0.26005366,0.26031289,0.25611672,0.253205,0.25199714
0.26031289,0.25199714,0.25611672,0.2521071,0.253205
0.22497857,0.22497857,0.22333738,0.22421546,0.22246899
0.22497857,0.22246899,0.22333738,0.22563305,0.22421546
0.23384383,0.2264963,0.23384383,0.2264963,0.23384383
0.24954437,0.25793493,0.25141692,0.25141692,0.25238657
0.25141692,0.24721944,0.25354818,0.24961866,0.25354818
0.25354818,0.24721944,0.24961866,0.24273005,0.25354818
0.22006857,0.22412944,0.22412944,0.2205518,0.22412944
0.22412944,0.22006857,0.22412944,0.2205518,0.22412944
0.21881525,0.2170136,0.2170136,0.22625288,0.22118554
0.21369277,0.21369277,0.21481349,0.21369277,0.21369277
0.26029214,0.2823604,0.27639234,0.27639234,0.2823604
0.25274742,0.2596159,0.25082,0.25082,0.2621057
0.21467826,0.20562194,0.20562194,0.21467826,0.20562194
0.20872569,0.20478235,0.21075553,0.20872569,0.20872569
0.20872569,0.20872569,0.20478235,0.21075553,0.20872569
0.2009289,0.1937865,0.1937865,0.19875461,0.19220673
0.19618405,0.19618405,0.19618405,0.19308132,0.19618405
0.23780942,0.23780942,0.23780942,0.21753398,0.23780942
0.18977563,0.18977563,0.18631674,0.18730105,0.18730105
0.20739463,0.20801541,0.21053275,0.19689816,0.21053275
0.23802727,0.26768738,0.26768738,0.24961054,0.23699456
0.24973689,0.2694417,0.24830182,0.24830182,0.25804225
0.2166758,0.2030096,0.2030096,0.2139649,0.2139395
0.26768738,0.26434302,0.26142603,0.24961054,0.25196868
0.28222957,0.28222957,0.2834459,0.2694417,0.28222957
0.198497,0.19314606,0.19185802,0.19314606,0.19314606
0.21689694,0.21689694,0.21960185,0.21960185,0.21960185
0.198497,0.198497,0.19314606,0.19185802,0.20397793
0.198497,0.20397793,0.19314606,0.19314606,0.19185802
0.26395485,0.22682281,0.24008502,0.24008502,0.24097696
0.28673542,0.28673542,0.27124318,0.2676045,0.28118634
0.22354345,0.22354345,0.21822308,0.21754308,0.2215032
0.2262027,0.2262027,0.24924283,0.21617763,0.21795245
0.24924283,0.24924283,0.43279445,0.24924283,0.24924283
0.25871477,0.26022065,0.24924283,0.24924283,0.43279445
0.24588339,0.24135512,0.24977607,0.25432596,0.24135512
0.24977607,0.24135512,0.24977607,0.24977607,0.24588339
0.24135512,0.24977607,0.24977607,0.25432596,0.25432596
0.27381316,0.28165013,0.27381316,0.28165013,0.27381316
0.25708625,0.25708625,0.26930296,0.26930296,0.2712048
0.29255354,0.28251278,0.26749006,0.2874004,0.29255354
0.28350294,0.292537,0.292537,0.27379355,0.28350294
0.27982587,0.2730122,0.28229725,0.28019238,0.27982587
0.28671554,0.27506444,0.27781627,0.28395808,0.2800445
0.27937204,0.27937204,0.28628936,0.2841462,0.28628936
0.27854955,0.27974808,0.27812943,0.2753009,0.26655188
0.2992335,0.29875898,0.29129422,0.27727196,0.28875062
0.28875062,0.29875898,0.29129422,0.27937204,0.27727196
0.27341726,0.27854955,0.27974808,0.2872062,0.27341726
0.26655188,0.27812943,0.2798236,0.2753009,0.2753009
0.3183055,0.31109685,0.2969411,0.29990327,0.2969411
0.30286112,0.29485086,0.2992335,0.29485086,0.2992335
0.2992335,0.29485086,0.28875062,0.27727196,0.29875898
0.27341726,0.27974808,0.27812943,0.2798236,0.2872062
0.2899289,0.2992335,0.2992335,0.29485086,0.29485086
0.2992335,0.29485086,0.2992335,0.29875898,0.29485086
0.30192387,0.29750776,0.31549206,0.31549206,0.30192387
0.31549206,0.30066723,0.32014394,0.30560464,0.30560464
0.30066723,0.30066723,0.30560464,0.30560464,0.32014394
0.30066723,0.32014394,0.30560464,0.31371668,0.30560464
0.325427,0.3199318,0.3191686,0.30714515,0.30961478
0.325427,0.30961478,0.30913383,0.30714515,0.3191686
0.32082704,0.33172494,0.3161336,0.3161336,0.3324139
0.3816281,0.38547057,0.3779561,0.40975675,0.37525678
0.3604198,0.32228082,0.33751398,0.34550658,0.34307158
0.33172494,0.3161336,0.33052334,0.3324139,0.3161336
0.38782942,0.40314502,0.3746406,0.37236297,0.3746406
0.37525678,0.3779561,0.39771566,0.36887103,0.40975675
0.3779561,0.40975675,0.36887103,0.36887103,0.39771566
0.3779561,0.39771566,0.40975675,0.36887103,0.36887103
0.38782942,0.36356917,0.37236297,0.36695713,0.38782942
0.38782942,0.38782942,0.36356917,0.37236297,0.36695713
0.3560006,0.36230737,0.33885938,0.3560006,0.3596562
0.33516622,0.33516622,0.31712478,0.33308133,0.33898914
0.36054453,0.36731124,0.36392453,0.36392453,0.36392453
0.3696932,0.36731124,0.36392453,0.35782093,0.36731124
0.35782093,0.35782093,0.35782093,0.39304894,0.38748884
0.50995845,0.4798309,0.4798309,0.49272352,0.50995845
0.48132265,0.48132265,0.40742818,0.46270594,0.46270594
0.39432865,0.3507635,0.3836124,0.38127246,0.38127246
0.46512336,0.42814127,0.42814127,0.40742818,0.39516705
0.3507635,0.38127246,0.38127246,0.3529586,0.3507635
0.3507635,0.3507635,0.38127246,0.3529586,0.38127246
0.22949666,0.23173937,0.23173937,0.23463713,0.22949666
0.22949666,0.22949666,0.23173937,0.23463713,0.23173937
0.22949666,0.23173937,0.23976141,0.24058445,0.23463713
