feature_0,feature_1,feature_2,feature_3,feature_4,clor_val
0.15814655,0.18978865,0.15061848,0.19051632,0.19162942,0.15814655
0.16773467,0.17674412,0.1792889,0.22192273,0.22903556,0.1968109
0.16441523,0.18620653,0.18620653,0.20201315,0.17725347,0.18748613
0.17725347,0.23812233,0.18978865,0.17940478,0.16742547,0.18899709
0.24895883,0.2226489,0.18708496,0.22105941,0.24315944,0.22729604
0.2027268,0.2219605,0.19775157,0.20917954,0.20092945,0.20076814
0.2219605,0.20076814,0.19775157,0.20092945,0.2107983,0.20917954
0.18899727,0.2194906,0.30666035,0.21439351,0.2044436,0.2490123
0.17958441,0.1887829,0.18150783,0.20292836,0.21037984,0.16446908
0.30666035,0.17857143,0.2044436,0.20132512,0.20035222,0.22075835
0.16446908,0.16957995,0.20292836,0.21037984,0.2109954,0.1887829
0.1965032,0.2138281,0.21435994,0.2618889,0.23081839,0.21032104
0.22075835,0.20132512,0.1808207,0.19977932,0.22945304,0.20035222
0.21032104,0.2618889,0.25862646,0.23443942,0.22336267,0.23081839
0.20035222,0.19977932,0.20202895,0.22967522,0.22597669,0.22945304
0.22869435,0.25862646,0.23443942,0.21550104,0.21236044,0.24319471
0.1738938,0.17404188,0.2009616,0.1984399,0.17404188,0.15652749
0.15652749,0.17404188,0.2009616,0.17404188,0.2652743,0.1984399
0.21550104,0.21236044,0.19511642,0.19511642,0.20080017,0.20572203
0.1984399,0.17404188,0.24091598,0.29325035,0.2652743,0.2652743
0.20855743,0.20101446,0.21865605,0.20305218,0.20927536,0.22787464
0.20080017,0.19268617,0.1738938,0.1615309,0.17035876,0.20310351
0.17404188,0.24091598,0.26105785,0.2652743,0.2652743,0.29325035
0.24793592,0.26742178,0.27406552,0.2317366,0.25206444,0.2315319
0.17285065,0.17630327,0.18201819,0.19215843,0.25418,0.206731
0.18201819,0.206731,0.19215843,0.19072549,0.20082602,0.25418
0.19215843,0.25418,0.19072549,0.17591627,0.17976946,0.20082602
0.19072549,0.20082602,0.17591627,0.18603638,0.19371952,0.17976946
0.17591627,0.17976946,0.18603638,0.20637149,0.21134005,0.19371952
0.1989226,0.20343907,0.21355292,0.21865605,0.20927536,0.21537715
0.21134005,0.19534154,0.20343907,0.18845898,0.21537715,0.21355292
0.27406552,0.22865877,0.25206444,0.23797397,0.2543447,0.25613955
0.19534154,0.19903407,0.18845898,0.21036059,0.19693038,0.20136729
0.19903407,0.20136729,0.2290825,0.19693038,0.21124777,0.21036059
0.19903407,0.21036059,0.19693038,0.21124777,0.19280404,0.2290825
0.21778421,0.22468817,0.24670888,0.24059403,0.22409645,0.24059403
0.2290825,0.21124777,0.21717946,0.22468817,0.24670888,0.19280404
0.22963734,0.1720438,0.18590331,0.23445223,0.19961496,0.15220739
0.15220739,0.18590331,0.19961496,0.20924892,0.27286538,0.23445223
0.21185046,0.23050536,0.21999124,0.18222007,0.21939959,0.16703998
0.18222007,0.21939959,0.23658483,0.31873816,0.27108157,0.2518905
0.21185046,0.25275466,0.16703998,0.21999124,0.21999124,0.23050536
0.15466823,0.19961496,0.20699549,0.27286538,0.31223938,0.19961496
0.15466823,0.15466823,0.19961496,0.2716003,0.31223938,0.20699549
0.31223938,0.17379087,0.19244947,0.22091614,0.21661815,0.19244947
0.15466823,0.18269984,0.20699549,0.2716003,0.28120697,0.15466823
0.15466823,0.15466823,0.18269984,0.20699549,0.28120697,0.2716003
